ZIP CODE ,AREA NAME,IS LOS ANGELES,Early Childhood Education,Health Education,Substance Abuse Programs,Mental Health Programs,Adult Eduction Programs,Public Child Care,Housing Community Investment,Museum and Aquarium,Number Of Highschools,Number Of Students,Number Of Dropouts,Percent Drop Out,Health Clinics,Public Health Programs,Mental Health Centers,Safe Havens,Domestic Violence Services,Mental Health Counceling,LA City Events,Unemployment Rate,Teen Pregnancy Rate,Animal Parks,Aquatic,Fitness Center,Nature_Trails,Parks_Recreation,Senior_Centers,Property.Crime,Violent.Crime,Other,Property.Crime.STD,Violent.Crime.STD,Other.Crime.STD,Housing Permits,Commercial Permits,Other Permits
90262,Lynwood ,1,0,0,0,0,0,1,0,0,0,0,0,,3,3,18,3,0,3,0,10.2,0.042243767,0,0,0,0,0,0,283,263,44,-0.295791833,-0.081144808,-0.190085763,0,0,0
90272,Castellemare /Pacific Highlands /Pacifi ,1,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,2,0,0,19,5.1,0,0,0,0,0,10,0,354,73,24,-0.248752319,-0.335966498,-0.313598784,3946,298,21
90291,Venice  ,1,8,5,7,3,1,2,0,1,0,0,0,,1,0,2,1,0,1,41,8.4,0.028169014,1,0,0,1,14,1,1641,542,114,0.603921695,0.293040726,0.242209812,3117,915,58
90292,Marina del Rey ,1,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,6.4,0,0,0,0,0,4,0,224,64,22,-0.334881007,-0.348037,-0.325950086,1666,438,36
90293,Playa del Rey  ,1,2,0,0,0,0,0,0,0,2,2177,757.72,0.348056959,0,0,0,0,0,0,1,7,0,0,0,0,0,3,0,1104,254,65,0.24814396,-0.093215309,-0.060397091,844,202,7
90294,Venice  ,1,5,1,1,3,3,0,0,0,0,0,0,,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,0,0,0
90501,Torrance ,1,3,1,1,1,1,2,0,0,0,0,0,,2,1,6,1,3,3,0,8.2,0.023443223,0,0,0,0,3,0,29,22,8,-0.46407404,-0.404366005,-0.412409201,693,193,22
90502,Torrance ,1,0,0,0,0,0,0,0,0,0,0,0,,1,3,10,0,1,3,0,9.7,0,0,0,0,0,0,0,341,152,53,-0.257365188,-0.230014322,-0.134504903,1,312,9
90710,Harbor City  ,1,0,0,0,0,0,0,0,0,6,2590,713.41,0.275447876,2,0,1,2,0,0,0,9.8,0.042412818,0,1,0,0,4,0,1235,506,174,0.334935176,0.244758722,0.612748876,600,289,44
90731,San Pedro /Terminal Island  ,1,12,1,7,5,1,4,0,1,1,542,0,0,3,2,4,6,1,6,42,11.2,0.017250392,0,1,2,1,16,1,1647,748,252,0.607896865,0.569321085,1.094449659,2618,856,49
90732,Rancho Palos Verdes ,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,2,0,1,1,9.1,0,0,1,0,1,8,0,433,135,44,-0.196412578,-0.252814157,-0.190085763,1203,194,14
